B.6g Gross Disposable Household Income by Local Authority1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
East of England,E07000068,Brentwood,971,976,1025,1078,1106,1123,1154,1184,1232,1273,1307,1377,1439,1427,1456,1530,1575,1657,1732,1761
East of England,E07000069,Castle Point,1005,1025,1077,1130,1192,1231,1261,1286,1322,1346,1394,1453,1497,1476,1492,1545,1569,1587,1684,1728
East of England,E07000070,Chelmsford,2112,2145,2262,2381,2511,2603,2670,2766,2857,2945,3055,3166,3276,3249,3302,3448,3543,3660,3822,3875
East of England,E07000071,Colchester,1608,1653,1773,1870,1984,2061,2108,2214,2343,2427,2534,2661,2807,2821,2921,3093,3222,3301,3529,3664
East of England,E07000072,Epping Forest,1636,1686,1779,1875,1951,1998,2036,2094,2187,2258,2338,2455,2464,2434,2490,2623,2700,2780,3103,3169
East of England,E07000073,Harlow,937,977,1017,1093,1146,1178,1188,1251,1321,1358,1415,1479,1521,1495,1547,1629,1671,1713,1921,1971
East of England,E07000074,Maldon,755,787,832,896,939,964,974,1002,1036,1070,1103,1159,1177,1158,1174,1215,1244,1289,1333,1347
East of England,E07000075,Rochford,890,912,966,1023,1084,1123,1153,1189,1235,1270,1326,1391,1431,1423,1439,1499,1520,1547,1646,1697
East of England,E07000076,Tendring,1267,1321,1405,1503,1596,1660,1704,1763,1819,1869,1935,2020,2072,2028,2054,2133,2210,2254,2380,2435
East of England,E07000077,Uttlesford,943,970,1014,1087,1124,1153,1169,1229,1293,1334,1388,1466,1513,1516,1578,1679,1736,1780,1993,2042
East of England,E07000095,Broxbourne,1096,1165,1192,1311,1393,1429,1458,1487,1543,1627,1732,1785,1853,1832,1849,1967,2071,2136,2286,2308
East of England,E07000096,Dacorum,1773,1880,1905,2085,2191,2241,2285,2341,2413,2536,2670,2760,2878,2861,2900,3077,3251,3383,3634,3667
East of England,E07000242,East Hertfordshire,1733,1833,1866,2025,2149,2204,2238,2290,2366,2483,2617,2706,2803,2773,2824,2980,3161,3279,3519,3562
East of England,E07000098,Hertsmere,1218,1311,1343,1444,1533,1562,1590,1618,1672,1762,1864,1929,2002,1999,2018,2132,2250,2361,2513,2522
East of England,E07000099,North Hertfordshire,1456,1546,1566,1734,1840,1883,1955,2006,2072,2207,2317,2394,2481,2466,2500,2646,2779,2892,3088,3125
East of England,E07000240,St Albans,1821,1915,1953,2142,2237,2288,2322,2343,2430,2559,2703,2789,2902,2912,2949,3121,3271,3442,3669,3690
