Secondary Resources total by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
East of England,E06000056,Central Bedfordshire,603,637,664,708,713,760,774,824,873,937,1008,1060,1156,1260,1315,1389,1425,1403,1515,1553
East of England,E06000032,Luton,398,414,423,473,514,539,554,590,593,627,671,704,768,837,883,947,954,961,989,988
East of England,E06000031,Peterborough,411,428,449,471,484,513,532,569,602,648,699,742,813,866,892,964,983,986,1005,1004
East of England,E06000033,Southend-on-Sea,472,489,496,524,561,630,652,679,705,732,788,824,883,955,978,1028,1053,1048,1070,1070
East of England,E06000034,Thurrock,327,345,366,370,390,442,471,486,493,525,589,610,652,709,746,781,799,799,813,813
East of England,E07000008,Cambridge,295,314,326,338,336,359,367,389,425,454,485,508,548,601,625,662,685,683,708,707
East of England,E07000009,East Cambridgeshire,187,205,211,224,224,244,256,263,280,305,336,355,387,416,429,460,479,481,497,500
East of England,E07000010,Fenland,219,234,244,255,256,278,285,305,323,353,389,410,443,475,486,519,538,539,559,565
East of England,E07000011,Huntingdonshire,422,446,462,484,480,520,527,564,591,638,692,728,784,841,866,925,959,960,992,999
East of England,E07000012,South Cambridgeshire,348,370,382,396,399,433,443,470,499,542,594,628,684,739,763,815,842,844,874,885
East of England,E07000066,Basildon,446,463,486,519,550,590,608,651,672,717,782,819,876,925,968,1027,1057,1042,1071,1076
East of England,E07000067,Braintree,359,381,402,432,456,491,509,550,572,615,674,709,764,806,848,897,919,919,951,955
East of England,E07000068,Brentwood,202,212,223,238,249,264,272,292,304,327,357,370,395,417,436,461,458,471,492,496
East of England,E07000069,Castle Point,235,244,255,272,287,307,318,338,348,369,402,418,446,469,487,513,524,513,525,525
East of England,E07000070,Chelmsford,454,478,505,541,572,609,630,679,704,755,823,849,904,952,995,1054,1043,1064,1113,1126
East of England,E07000071,Colchester,441,459,483,511,538,571,589,634,666,716,784,827,893,947,998,1065,1097,1108,1168,1185
East of England,E07000072,Epping Forest,337,354,372,397,419,448,459,491,508,542,589,609,647,674,713,756,763,737,785,797
East of England,E07000073,Harlow,214,229,240,258,273,289,295,315,327,349,379,394,422,442,469,497,501,485,518,527
East of England,E07000074,Maldon,161,174,186,203,217,229,236,252,261,281,307,317,336,352,365,385,381,389,405,410
East of England,E07000075,Rochford,209,218,229,246,261,281,290,311,322,344,376,394,421,444,461,488,497,489,502,502
East of England,E07000076,Tendring,380,405,423,452,478,510,524,561,577,613,665,692,738,767,794,836,857,860,896,906
East of England,E07000077,Uttlesford,191,202,211,226,239,256,266,286,299,323,356,373,401,427,457,487,496,482,517,529
East of England,E07000095,Broxbourne,229,244,253,281,306,321,328,344,360,389,419,435,467,499,515,545,560,553,570,572
East of England,E07000096,Dacorum,378,402,409,448,484,506,517,543,563,603,643,669,719,771,798,846,872,862,895,900
East of England,E07000242,East Hertfordshire,350,372,380,416,454,477,487,512,532,573,615,641,687,734,759,804,830,823,856,863
East of England,E07000098,Hertsmere,257,274,279,307,332,346,353,368,383,413,444,464,499,533,552,582,598,591,611,613
East of England,E07000099,North Hertfordshire,318,338,344,378,411,432,445,471,490,529,567,591,633,677,701,740,761,755,779,784
East of England,E07000240,St Albans,355,373,382,420,454,478,490,515,536,578,619,647,697,748,776,820,845,837,866,868
East of England,E07000243,Stevenage,216,229,234,258,280,294,300,314,326,349,372,388,416,445,463,489,504,496,513,516
East of England,E07000102,Three Rivers,226,237,247,271,291,306,314,329,342,366,393,410,440,470,483,512,528,522,544,547
East of England,E07000103,Watford,220,236,239,262,282,294,301,318,333,356,382,403,437,475,498,530,553,551,570,570
East of England,E07000241,Welwyn Hatfield,266,281,289,317,343,360,371,394,419,456,492,511,548,588,608,644,668,665,697,715
East of England,E07000143,Breckland,330,350,370,401,433,447,472,495,513,552,603,629,673,733,761,801,812,816,864,881
East of England,E07000144,Broadland,314,334,350,378,408,424,445,466,477,508,555,581,625,673,699,733,749,740,772,778
East of England,E07000145,Great Yarmouth,246,259,270,290,312,325,342,359,369,393,428,452,487,525,546,572,583,576,601,605
East of England,E07000146,King’s Lynn and West Norfolk,407,430,451,488,526,554,585,612,633,681,743,782,846,921,957,1007,1013,1010,1060,1078
East of England,E07000147,North Norfolk,296,313,330,355,382,399,420,435,447,476,517,542,581,631,658,690,693,691,724,736
East of England,E07000148,Norwich,339,352,364,390,420,434,455,476,493,527,571,603,652,708,741,784,806,802,842,854
East of England,E07000149,South Norfolk,305,323,339,367,395,412,435,457,472,506,553,579,627,691,723,765,779,786,836,854
